Input Price (OpenRouter),Max Output,endpoint version,Output Price (OpenRouter),Cache Read Price (OpenRouter),Latency,Output/Input Price,Openrouter Card,Total Context,API Provider,Exact Name,Access,Model Vendor,Throughput,Cache Write Price (OpenRouter),token section,Model Name
0.27,163840,deepseek-ai/DeepSeek-V3.2-Exp,0.4,,2.03,1.481481481481,https://openrouter.ai/deepseek/deepseek-v3.2-exp,163840,DeepInfra,deepseek/deepseek-v3.2-exp,,deepseek,9.97,,,DeepSeek: DeepSeek V3.2 Exp
0.05,400000,gpt-5-nano,0.4,0.01,2.86,8,https://openrouter.ai/openai/gpt-5-nano,400000,Azure,openai/gpt-5-nano,Closed,openai,146.2,,,OpenAI: GPT-5 Nano
3,64000,claude-sonnet-4-5@20250929,15,,1.67,5,https://openrouter.ai/anthropic/claude-sonnet-4.5,1000000,Google Vertex,anthropic/claude-sonnet-4.5,Closed,anthropic,42.11,,"≤200,000",Anthropic: Claude Sonnet 4.5
2.5,65536,gemini-2.5-pro,15,0.625,2.43,6,https://openrouter.ai/google/gemini-2.5-pro,1048576,Google Vertex (Global),google/gemini-2.5-pro,Closed,google,87.96,2.875,">200,000",Google: Gemini 2.5 Pro
0.25,128000,gpt-5-mini-2025-08-07,2,0.025,7.6,8,https://openrouter.ai/openai/gpt-5-mini,400000,OpenAI,openai/gpt-5-mini,Closed,openai,55.48,,,OpenAI: GPT-5 Mini
15,32000,claude-opus-4-1-20250805,75,1.5,2.62,5,https://openrouter.ai/anthropic/claude-opus-4.1,200000,Anthropic,anthropic/claude-opus-4.1,Closed,anthropic,47.18,18.75,,Anthropic: Claude Opus 4.1
0.14,262144,"Qwen/Qwen3-Next-80B-A3B-Thinking
bf16",1.2,,0.82,8.571428571429,https://openrouter.ai/qwen/qwen3-next-80b-a3b-thinking,262144,DeepInfra,qwen/qwen3-next-80b-a3b-thinking,Open,qwen,167.6,,,Qwen: Qwen3 Next 80B A3B Thinking
0.14,131072,,0.57,,0.9,4.071428571429,,131072,SiliconFlow,qwen/qwen3-32b,,qwen,32.73,,,Qwen: Qwen3 32B
0.7,32800,qwen3-vl-235b-a22b-thinking,8.4,,2.29,12,https://openrouter.ai/qwen/qwen3-vl-235b-a22b-thinking,131072,Alibaba Cloud Int.,qwen/qwen3-vl-235b-a22b-thinking,Open,qwen,56.34,,,Qwen: Qwen3 VL 235B A22B Thinking
2.5,16400,chatgpt-4o-latest,10,,0.64,4,https://openrouter.ai/openai/chatgpt-4o-latest,128000,Azure,openai/gpt-4o,Closed,openai,1750,,,OpenAI: GPT-4o
0.5,163840,deepseek-ai/DeepSeek-R1-0528 fp4,2.15,,1.25,4.3,https://openrouter.ai/deepseek/deepseek-r1-0528/providers,163840,DeepInfra,deepseek/deepseek-r1-0528,,deepseek,40.43,,,DeepSeek: R1 0528
0.29,262144,Qwen/Qwen3-Coder-480B-A35B-Instruct-Turbo,1.2,,0.29,4.137931034483,https://openrouter.ai/qwen/qwen3-coder,262144,DeepInfra,qwen/qwen3-coder,Open,qwen,146.7,,,Qwen: Qwen3 Coder 480B A35B
0.1,40960,,0.28,,0.8,2.8,,40960,DeepInfra,qwen/qwen3-32b,,qwen,81.08,,,Qwen: Qwen3 32B
1.25,65536,gemini-2.5-pro,10,0.31,2.43,8,https://openrouter.ai/google/gemini-2.5-pro,1048576,Google Vertex (Global),google/gemini-2.5-pro,Closed,google,87.96,1.625,"≤200,000",Google: Gemini 2.5 Pro
1.25,65536,gemini-2.5-pro,10,0.31,2.14,8,https://openrouter.ai/google/gemini-2.5-pro,1048576,Google AI Studio,google/gemini-2.5-pro,Closed,google,94.47,1.625,"≤200,000",Google: Gemini 2.5 Pro
0.15,16400,gpt-4o-mini,0.6,0.075,0.49,4,https://openrouter.ai/openai/gpt-4o-mini,128000,OpenAI,openai/gpt-4o-mini,Closed,openai,53.33,,,OpenAI: GPT-4o-mini
1.25,128000,gpt-5,10,0.125,4.11,8,https://openrouter.ai/openai/gpt-5,400000,Azure,openai/gpt-5,Closed,openai,84.76,,,OpenAI: GPT-5
15,32000,claude-opus-4-1@20250805,75,1.5,2.2,5,https://openrouter.ai/anthropic/claude-opus-4.1,200000,Google Vertex,anthropic/claude-opus-4.1,Closed,anthropic,36.15,18.75,,Anthropic: Claude Opus 4.1
3,64000,claude-sonnet-4@20250514,15,0.3,1.33,5,https://openrouter.ai/anthropic/claude-sonnet-4,1000000,Google Vertex,anthropic/claude-sonnet-4,Closed,anthropic,60.4,3.75,"≤200,000",Anthropic: Claude Sonnet 4
6,64000,claude-sonnet-4-5@20250929,22.5,,1.67,3.75,https://openrouter.ai/anthropic/claude-sonnet-4.5,1000000,Google Vertex,anthropic/claude-sonnet-4.5,Closed,anthropic,42.11,,">200,000",Anthropic: Claude Sonnet 4.5
3,256000,grok-4-0709,15,0.75,13.29,5,https://openrouter.ai/x-ai/grok-4,256000,xAI,x-ai/grok-4,,x-ai,33.43,,,xAI: Grok 4
1.1,100000,o4-mini-2025-04-16,4.4,0.275,4.45,4,https://openrouter.ai/openai/o4-mini,200000,OpenAI,openai/o4-mini,Closed,openai,77.24,,,OpenAI: o4 Mini
